"country_region","population","total_cases","new_cases","total_deaths","total_recovered","total_tests","continent","confirmed","deaths","recovered","active","new_cases_cwl","confirmed_final","deaths_final","recovered_final","cfr","incidence_per_100k","deaths_per_100k","recovery_pct","positivity","ts_sum_confirmed","pct_diff_wm_cwl","pct_diff_wm_ts"
"Vietnam",97425470,747,NA,10,392,482456,"Asia",431,0,365,66,11,431,0,365,0,NA,0,0.846867749419954,NA,431,73.3178654292343,73.3178654292343
"Lesotho",2143943,742,NA,23,175,8771,"Africa",505,12,128,365,0,505,12,128,0.0237623762376238,NA,0.55971637305656,0.253465346534653,NA,505,46.9306930693069,46.9306930693069
"Diamond Princess",NA,712,NA,13,651,NA,NA,NA,NA,NA,NA,NA,712,13,651,0.0182584269662921,NA,NA,0.914325842696629,NA,NA,0,NA
"San Marino",33938,699,NA,42,657,6068,"Europe",699,42,657,0,0,699,42,657,0.0600858369098712,NA,123.755082798043,0.939914163090129,NA,699,0,0
"Réunion",895952,671,NA,5,592,35419,"Africa",NA,NA,NA,NA,NA,671,5,592,0.00745156482861401,NA,0.558065610657714,0.882265275707899,NA,NA,0,NA
"Channel Islands",174022,597,NA,47,533,30721,"Europe",NA,NA,NA,NA,NA,597,47,533,0.0787269681742044,NA,27.0080794382319,0.892797319932998,NA,NA,0,NA
"Guyana",786936,538,NA,22,189,5165,"South America",389,20,181,188,19,389,20,181,0.051413881748072,NA,2.54150273973995,0.465295629820051,NA,389,38.3033419023136,38.3033419023136
"Tanzania",59886383,509,NA,21,183,NA,"Africa",509,21,183,305,0,509,21,183,0.0412573673870334,NA,0.0350664023238805,0.359528487229862,NA,509,0,0
"Taiwan",23821199,477,NA,7,443,82737,"Asia",NA,NA,NA,NA,NA,477,7,443,0.0146750524109015,NA,0.0293855905405937,0.928721174004193,NA,NA,0,NA
"Comoros",871326,396,NA,7,340,NA,"Africa",354,7,328,19,0,354,7,328,0.019774011299435,NA,0.803373249507073,0.926553672316384,NA,354,11.864406779661,11.864406779661
"Burundi",11922216,395,NA,1,304,15614,"Africa",378,1,301,76,17,378,1,301,0.00264550264550265,NA,0.00838770242042251,0.796296296296296,NA,378,4.49735449735449,4.49735449735449
"Myanmar",54446389,357,NA,6,308,122290,"Asia",NA,NA,NA,NA,NA,357,6,308,0.0168067226890756,NA,0.0110200145688266,0.862745098039216,NA,NA,0,NA
"Mauritius",1271985,344,NA,10,334,205285,"Africa",344,10,332,2,0,344,10,332,0.0290697674418605,NA,0.786172792918156,0.965116279069767,NA,344,0,0
"Isle of Man",85078,336,NA,24,312,8627,"Europe",NA,NA,NA,NA,NA,336,24,312,0.0714285714285714,NA,28.2094078375138,0.928571428571429,NA,NA,0,NA
"Mongolia",3283344,293,NA,NA,260,38334,"Asia",289,0,222,67,1,289,0,222,0,NA,0,0.768166089965398,NA,289,1.3840830449827,1.3840830449827
"Eritrea",3551175,282,NA,NA,225,NA,"Africa",265,0,191,74,2,265,0,191,0,NA,0,0.720754716981132,NA,265,6.41509433962264,6.41509433962264
"Guadeloupe",400131,279,NA,14,179,18476,"North America",NA,NA,NA,NA,NA,279,14,179,0.0501792114695341,NA,3.49885412527397,0.6415770609319,NA,NA,0,NA
"Martinique",375235,276,NA,15,98,12227,"North America",NA,NA,NA,NA,NA,276,15,98,0.0543478260869565,NA,3.997494903194,0.355072463768116,NA,NA,0,NA
"Faeroe Islands",48882,266,NA,NA,192,43045,"Europe",NA,NA,NA,NA,NA,266,NA,192,NA,NA,NA,0.721804511278195,NA,NA,0,NA
"Aruba",106812,263,NA,3,114,14047,"North America",NA,NA,NA,NA,NA,263,3,114,0.0114068441064639,NA,2.80867318278845,0.433460076045627,NA,NA,0,NA
"Cambodia",16741375,243,NA,NA,210,67807,"Asia",226,0,147,79,1,226,0,147,0,NA,0,0.650442477876106,NA,226,7.52212389380531,7.52212389380531
"Trinidad and Tobago",1399950,210,NA,8,135,9559,"North America",148,8,128,12,1,148,8,128,0.0540540540540541,NA,0.571448980320726,0.864864864864865,NA,148,41.8918918918919,41.8918918918919
"Cayman Islands",65798,203,NA,1,202,31108,"North America",NA,NA,NA,NA,NA,203,1,202,0.00492610837438424,NA,1.51980303352685,0.995073891625616,NA,NA,0,NA
"Gibraltar",33690,190,NA,NA,184,23063,"Europe",NA,NA,NA,NA,NA,190,NA,184,NA,NA,NA,0.968421052631579,NA,NA,0,NA
