"country_region","population","total_cases","new_cases","total_deaths","total_recovered","total_tests","continent","confirmed","deaths","recovered","active","new_cases_cwl","confirmed_final","deaths_final","recovered_final","cfr","incidence_per_100k","deaths_per_100k","recovery_pct","positivity","ts_sum_confirmed","pct_diff_wm_cwl","pct_diff_wm_ts"
"Papua New Guinea",8963009,163,NA,3,53,10808,"Australia/Oceania",62,0,11,51,0,62,0,11,0,NA,0,0.17741935483871,NA,62,162.903225806452,162.903225806452
"Sint Maarten",42924,160,NA,16,64,1115,"North America",NA,NA,NA,NA,NA,160,16,64,0.1,NA,37.2751840462212,0.4,NA,NA,0,NA
"Bermuda",62254,157,NA,9,144,26352,"North America",NA,NA,NA,NA,NA,157,9,144,0.0573248407643312,NA,14.4569023677193,0.917197452229299,NA,NA,0,NA
"Brunei ",437893,141,NA,3,138,41148,"Asia",NA,NA,NA,NA,NA,141,3,138,0.0212765957446809,NA,0.685098871185427,0.978723404255319,NA,NA,0,NA
"Barbados",287411,133,NA,7,100,12233,"North America",110,7,94,9,0,110,7,94,0.0636363636363636,NA,2.4355365661022,0.854545454545454,NA,110,20.9090909090909,20.9090909090909
"Turks and Caicos",38768,129,NA,2,39,1252,"North America",NA,NA,NA,NA,NA,129,2,39,0.0155038759689922,NA,5.15889393314074,0.302325581395349,NA,NA,0,NA
"Seychelles",98408,126,NA,NA,124,NA,"Africa",114,0,39,75,0,114,0,39,0,NA,0,0.342105263157895,NA,114,10.5263157894737,10.5263157894737
"Monaco",39270,125,NA,4,105,38209,"Europe",116,4,104,8,0,116,4,104,0.0344827586206897,NA,10.1858925388337,0.896551724137931,NA,116,7.75862068965518,7.75862068965518
"Bhutan",772443,105,NA,NA,93,54589,"Asia",99,0,86,13,4,99,0,86,0,NA,0,0.868686868686869,NA,99,6.06060606060606,6.06060606060606
"Antigua and Barbuda",98010,92,NA,3,76,1500,"North America",86,3,65,18,4,86,3,65,0.0348837209302326,NA,3.06091215182124,0.755813953488372,NA,86,6.9767441860465,6.9767441860465
"Liechtenstein",38139,89,NA,1,85,900,"Europe",86,1,81,4,0,86,1,81,0.0116279069767442,NA,2.621987991295,0.941860465116279,NA,86,3.48837209302326,3.48837209302326
"Belize",398312,86,NA,2,31,3679,"North America",48,2,26,20,0,48,2,26,0.0416666666666667,NA,0.502118941934966,0.541666666666667,NA,48,79.1666666666667,79.1666666666667
"French Polynesia",281072,64,NA,NA,62,5849,"Australia/Oceania",NA,NA,NA,NA,NA,64,NA,62,NA,NA,NA,0.96875,NA,NA,0,NA
"St. Vincent Grenadines",110976,56,NA,NA,46,2447,"North America",NA,NA,NA,NA,NA,56,NA,46,NA,NA,NA,0.821428571428571,NA,NA,0,NA
"Saint Martin",38729,53,NA,3,41,1183,"North America",NA,NA,NA,NA,NA,53,3,41,0.0566037735849057,NA,7.74613338841695,0.773584905660377,NA,NA,0,NA
"Macao",650193,46,NA,NA,46,4071,"Asia",NA,NA,NA,NA,NA,46,NA,46,NA,NA,NA,1,NA,NA,0,NA
"Curaçao",164161,31,NA,1,28,1080,"North America",NA,NA,NA,NA,NA,31,1,28,0.032258064516129,NA,0.609158082614019,0.903225806451613,NA,NA,0,NA
"Fiji",897095,27,NA,1,18,6693,"Australia/Oceania",27,0,18,9,0,27,0,18,0,NA,0,0.666666666666667,NA,27,0,0
"Saint Lucia",183712,25,NA,NA,24,3895,"North America",24,0,22,2,0,24,0,22,0,NA,0,0.916666666666667,NA,24,4.16666666666667,4.16666666666667
"Timor-Leste",1320812,25,NA,NA,24,4238,"Asia",24,0,0,24,0,24,0,0,0,NA,0,0,NA,24,4.16666666666667,4.16666666666667
"Grenada",112576,24,NA,NA,23,6252,"North America",23,0,23,0,0,23,0,23,0,NA,0,1,NA,23,4.34782608695652,4.34782608695652
"New Caledonia",285769,22,NA,NA,22,11099,"Australia/Oceania",NA,NA,NA,NA,NA,22,NA,22,NA,NA,NA,1,NA,NA,0,NA
"Laos",7285750,20,NA,NA,19,29374,"Asia",20,0,19,1,0,20,0,19,0,NA,0,0.95,NA,20,0,0
"Dominica",72004,18,NA,NA,18,1005,"North America",18,0,18,0,0,18,0,18,0,NA,0,1,NA,18,0,0
"Saint Kitts and Nevis",53237,17,NA,NA,16,1146,"North America",17,0,15,2,0,17,0,15,0,NA,0,0.882352941176471,NA,17,0,0
"Greenland",56780,14,NA,NA,14,5977,"North America",14,0,13,1,1,14,0,13,0,NA,0,0.928571428571429,NA,14,0,0
"Montserrat",4992,13,NA,1,10,61,"North America",NA,NA,NA,NA,NA,13,1,10,0.0769230769230769,NA,20.0320512820513,0.769230769230769,NA,NA,0,NA
"Caribbean Netherlands",26247,13,NA,NA,7,424,"North America",NA,NA,NA,NA,NA,13,NA,7,NA,NA,NA,0.538461538461538,NA,NA,0,NA
"Falkland Islands",3489,13,NA,NA,13,1816,"South America",NA,NA,NA,NA,NA,13,NA,13,NA,NA,NA,1,NA,NA,0,NA
"Vatican City",801,12,NA,NA,12,NA,"Europe",NA,NA,NA,NA,NA,12,NA,12,NA,NA,NA,1,NA,NA,0,NA
"Western Sahara",598682,10,NA,1,8,NA,"Africa",10,1,8,1,0,10,1,8,0.1,NA,0.167033583772353,0.8,NA,10,0,0
